id,type,isObscene,isAbstract,text
673,suffix,FALSE,FALSE,жмот
674,suffix,TRUE,FALSE,мраз
675,suffix,FALSE,FALSE,дрыст
676,suffix,FALSE,FALSE,тёк
677,suffix,FALSE,FALSE,крах
678,suffix,FALSE,FALSE,крох
679,suffix,FALSE,FALSE,плюв
680,suffix,FALSE,FALSE,морщ
681,suffix,FALSE,FALSE,куп
682,suffix,FALSE,FALSE,берс
683,suffix,TRUE,FALSE,кал
684,suffix,FALSE,TRUE,торн
685,suffix,FALSE,TRUE,сотт
686,suffix,FALSE,TRUE,грах
687,suffix,FALSE,TRUE,ши
688,suffix,FALSE,TRUE,нобо
689,suffix,FALSE,TRUE,озгу
690,suffix,FALSE,TRUE,зайга
691,suffix,FALSE,TRUE,шу
692,suffix,FALSE,TRUE,неф
